nomeMaquina|nomeDoSO|RealeaseDoSO|VersãoDoSO|Processador|NúcleosFísicos|NúcleosLógicos
DESKTOP-886AGFM|Windows|10|10.0.19045|AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD|6|12
DESKTOP-886AGFM|Windows|10|10.0.19045|AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD|6|12
DESKTOP-886AGFM|Windows|10|10.0.19045|AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD|6|12
