timestamp|nomeMaquina|cpu|ramTotal|ramUsada|discoTotal|discoUsado
2025-10-13 16:43:19|DESKTOP-886AGFM|4.0|15.93|64.0|476.92|97.2
2025-10-13 16:44:04|DESKTOP-886AGFM|3.5|15.93|64.0|476.92|97.2
2025-10-13 16:45:57|DESKTOP-886AGFM|4.0|15.93|64.4|476.92|97.2
2025-10-13 16:46:08|DESKTOP-886AGFM|10.0|15.93|64.3|476.92|97.2
